File  .text     Size         Crate Name
0.0%   0.1%     123B           std core::ptr::drop_in_place
0.0%   0.1%     122B           std core::ptr::drop_in_place
0.0%   0.1%     120B           std alloc::vec::Vec<T>::drain::end_assert_failed
0.0%   0.1%     117B           std std::panicking::try::cleanup
0.0%   0.1%     117B           std core::ptr::drop_in_place
0.0%   0.1%     116B           std core::slice::slice_index_order_fail
0.0%   0.1%     116B           std core::slice::slice_index_len_fail
0.0%   0.1%     116B           std core::panicking::panic_bounds_check
0.0%   0.1%     115B           std __rdos_backtrace_vector_finish
0.0%   0.1%     115B           std <&T as core::fmt::Debug>::fmt
0.0%   0.1%     114B           std core::fmt::builders::DebugTuple::finish
0.0%   0.1%     112B           std __rdos_backtrace_vector_release
0.0%   0.1%     112B           std rust_panic
0.0%   0.1%     112B           std core::ops::function::FnOnce::call_once{{vtable.shim}}
0.0%   0.1%     110B           std <*mut T as core::fmt::Debug>::fmt
0.0%   0.1%     110B           std std::thread::local::fast::destroy_value
0.0%   0.1%     108B           std <std::ffi::c_str::NulError as core::fmt::Debug>::fmt
0.0%   0.1%     106B           std core::ptr::drop_in_place
0.0%   0.1%     105B           std <std::io::stdio::StderrRaw as std::io::Write>::write
0.0%   0.1%     103B           std core::ptr::swap_nonoverlapping
0.0%   0.1%     102B           std __rdos_backtrace_pcinfo
0.0%   0.1%     102B           std <std::sys::unix::stdio::Stderr as std::io::Write>::write_vectored
0.0%   0.1%     102B           std core::ops::function::FnOnce::call_once{{vtable.shim}}
0.0%   0.1%     101B     [Unknown] __libc_csu_init
0.0%   0.1%     101B           std core::option::expect_failed
0.0%   0.1%      98B           std __rdos_backtrace_open
0.0%   0.1%      97B           std std::thread::local::fast::destroy_value
0.0%   0.0%      94B           std backtrace::symbolize::libbacktrace::pcinfo_cb
0.0%   0.0%      92B           std __rdos_backtrace_syminfo
0.0%   0.0%      92B          std? <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
0.0%   0.0%      90B           std core::ptr::drop_in_place
0.0%   0.0%      88B           std core::fmt::Arguments::new_v1_formatted
0.0%   0.0%      87B           std std::sys_common::util::abort
0.0%   0.0%      87B           std core::ptr::drop_in_place
0.0%   0.0%      87B           std core::ptr::read
0.0%   0.0%      87B           std core::fmt::ArgumentV1::new
0.0%   0.0%      87B           std core::fmt::ArgumentV1::new
0.0%   0.0%      87B           std core::fmt::ArgumentV1::new
0.0%   0.0%      84B           std backtrace::symbolize::SymbolName::as_str
0.0%   0.0%      84B           std std::rt::lang_start
0.0%   0.0%      83B           std rustc_demangle::try_demangle
0.0%   0.0%      83B           std <&T as core::fmt::Debug>::fmt
0.0%   0.0%      83B           std <&T as core::fmt::Debug>::fmt
0.0%   0.0%      83B           std <&T as core::fmt::Debug>::fmt
0.0%   0.0%      82B           std core::ptr::drop_in_place
0.0%   0.0%      82B           std core::ptr::drop_in_place
0.0%   0.0%      80B           std alloc::sync::Arc<T>::drop_slow
0.0%   0.0%      79B           std core::fmt::Formatter::pad_integral::write_prefix
0.0%   0.0%      79B           std core::panicking::panic
0.0%   0.0%      74B           std __divti3
0.0%   0.0%      73B           std core::fmt::builders::DebugStruct::finish
0.0%   0.0%      72B           std __rdl_alloc
0.0%   0.0%      72B           std core::fmt::Arguments::new_v1
0.0%   0.0%      71B           std __rdos_backtrace_alloc
0.0%   0.0%      71B           std backtrace::backtrace::libunwind::trace::trace_fn
0.0%   0.0%      69B     [Unknown] unit_addrs_compare
0.0%   0.0%      69B           std std::sys::unix::decode_error_kind
0.0%   0.0%      68B           std std::sys_common::util::dumb_print
0.0%   0.0%      67B           std __rust_drop_panic
0.0%   0.0%      67B           std core::ptr::drop_in_place
0.0%   0.0%      67B           std core::ptr::drop_in_place
0.0%   0.0%      66B           std <&mut W as core::fmt::Write>::write_fmt
0.0%   0.0%      66B           std <&mut W as core::fmt::Write>::write_fmt
0.0%   0.0%      66B           std <&mut W as core::fmt::Write>::write_fmt
0.0%   0.0%      66B           std <&mut W as core::fmt::Write>::write_fmt
0.0%   0.0%      63B           std core::fmt::Write::write_fmt
0.0%   0.0%      63B           std core::fmt::Write::write_fmt
0.0%   0.0%      63B           std core::fmt::Write::write_fmt
0.0%   0.0%      61B           std core::fmt::Formatter::debug_tuple
0.0%   0.0%      61B           std __rdos_backtrace_release_view
0.0%   0.0%      61B           std __rdos_backtrace_close
0.0%   0.0%      61B           std std::panicking::begin_panic_fmt
0.0%   0.0%      61B           std core::mem::replace
0.0%   0.0%      61B           std core::ops::function::FnOnce::call_once
0.0%   0.0%      60B           std std::panicking::panic_count::is_zero_slow_path
0.0%   0.0%      58B           std std::io::impls::<impl std::io::Write for alloc::boxed::Box<W>>::write_fmt
0.0%   0.0%      57B           std <core::fmt::Formatter as core::fmt::Write>::write_fmt
0.0%   0.0%      57B     [Unknown] function_addrs_compare
0.0%   0.0%      55B           std core::fmt::float::<impl core::fmt::Debug for f64>::fmt
0.0%   0.0%      55B           std std::sys::unix::args::imp::ARGV_INIT_ARRAY::init_wrapper
0.0%   0.0%      54B           std core::fmt::Formatter::debug_list
0.0%   0.0%      54B           std <core::fmt::Arguments as core::fmt::Debug>::fmt
0.0%   0.0%      52B           std std::sys_common::backtrace::_print_fmt::{{closure}}
0.0%   0.0%      51B           std core::panicking::panic_fmt
0.0%   0.0%      49B           std core::fmt::float::<impl core::fmt::Display for f64>::fmt
0.0%   0.0%      49B    qrand_core qrand_core::rd::get_sequence
0.0%   0.0%      48B           std core::fmt::Formatter::debug_struct
0.0%   0.0%      48B           std std::panicking::begin_panic
0.0%   0.0%      47B     [Unknown] main
0.0%   0.0%      47B     [Unknown] _start
0.0%   0.0%      46B           std core::intrinsics::copy_nonoverlapping
0.0%   0.0%      46B           std core::intrinsics::copy_nonoverlapping
0.0%   0.0%      44B           std <std::thread::local::AccessError as core::fmt::Debug>::fmt
